iter	Logloss
0	0.6449898143
1	0.6059325889
2	0.5705884769
3	0.5382112103
4	0.510232478
5	0.4862766972
6	0.4650230879
7	0.4427823196
8	0.4261514169
9	0.4115113623
10	0.3981575201
11	0.3858409458
12	0.3743681967
13	0.3645194254
14	0.3563814045
15	0.3473282802
16	0.3415478836
17	0.3345141234
18	0.3292832787
19	0.3234092336
20	0.3186609951
21	0.315175186
22	0.3124165476
23	0.3103108347
24	0.3070382719
25	0.303629157
26	0.3002430009
27	0.2975146682
28	0.2942778976
29	0.2917197192
30	0.2890926173
31	0.2872309508
32	0.2852180387
33	0.2833192142
34	0.2812902192
35	0.280013991
36	0.2784698392
37	0.2768193469
38	0.2751094677
39	0.2736693488
40	0.2716690582
41	0.2692030448
42	0.2676666637
43	0.2667433656
44	0.2651648109
45	0.2631192619
46	0.2613494308
47	0.2593018096
48	0.258062292
49	0.2570086821
50	0.2552069676
51	0.2530471425
52	0.2519370656
53	0.2510492772
54	0.2494317985
55	0.2479021755
56	0.2464611619
57	0.2449094984
58	0.2435661598
59	0.2423028828
60	0.2407379621
61	0.2391956471
62	0.2377143436
63	0.2366768872
64	0.2360370306
65	0.2342140292
66	0.2329826355
67	0.2322816025
68	0.2311463062
69	0.2297027023
70	0.2276390923
71	0.2253596459
72	0.2242573397
73	0.2232982494
74	0.2226419802
75	0.22163782
76	0.2207846936
77	0.2190650657
78	0.2184791094
79	0.2172322214
80	0.2163906804
81	0.215491495
82	0.2142991902
83	0.2141215477
84	0.2132335239
85	0.2125240373
86	0.212031282
87	0.2109673582
88	0.2092913404
89	0.2089145802
90	0.208114365
91	0.2073539451
92	0.2065680233
93	0.2057603907
94	0.2045838156
95	0.2040705269
96	0.2032690166
97	0.2017458927
98	0.2003890614
99	0.1996245443
100	0.1986732247
101	0.1980215473
102	0.197719833
103	0.1972114422
104	0.1960298279
105	0.1946761638
106	0.1935816871
107	0.1925051183
108	0.1917584502
109	0.1910171156
110	0.1900117662
111	0.1891561908
112	0.1879083492
113	0.1871429961
114	0.1860857363
115	0.1842837039
116	0.1837726287
117	0.1829289801
118	0.1820065769
119	0.1808262931
120	0.1796812481
121	0.1788293109
122	0.1786234467
123	0.1774920475
124	0.1759878323
125	0.1744681582
126	0.1738992149
127	0.1723219554
128	0.1717861199
129	0.171230481
130	0.1703383128
131	0.1694987379
132	0.1682577369
133	0.1671255724
134	0.1659697544
135	0.1648840021
136	0.163755723
137	0.16250077
138	0.1612469002
139	0.1600831114
140	0.1596929409
141	0.1591389503
142	0.1578554342
143	0.1567275554
144	0.1559226425
145	0.1551977676
146	0.154221782
147	0.1531935209
148	0.1517272054
149	0.1505035236
150	0.1497378055
151	0.1489825425
152	0.1484227122
153	0.1472714977
154	0.146367544
155	0.1452481305
156	0.1445210068
157	0.1440352923
158	0.1435419601
159	0.1426738456
160	0.1415254923
161	0.1404414471
162	0.1396061108
163	0.1382659394
164	0.1374900017
165	0.1369405205
166	0.135811582
167	0.135141514
168	0.133938754
169	0.1334704058
170	0.1323685352
171	0.1316361839
172	0.1306429733
173	0.1298733229
174	0.1289267834
175	0.1284061008
176	0.1273644765
177	0.1266237306
178	0.1260273074
179	0.1248440566
180	0.1241994552
181	0.1236360573
182	0.1229765974
183	0.1216637647
184	0.121102804
185	0.1207429862
186	0.1201664018
187	0.1198692675
188	0.1195877099
189	0.119059233
190	0.1185730122
191	0.1176530579
192	0.1171395102
193	0.1162800259
194	0.1151172143
195	0.1139615141
196	0.1133034318
197	0.1127642172
198	0.1122708968
199	0.1114807364
