iter	Passed	Remaining
0	1	245
1	1	188
2	2	172
3	3	163
4	4	159
5	4	152
6	5	150
7	6	145
8	6	145
9	7	143
10	8	144
11	9	142
12	9	141
13	10	139
14	11	138
15	12	138
16	12	137
17	13	135
18	14	133
19	14	132
20	15	130
21	15	129
22	16	128
23	17	125
24	17	125
25	18	124
26	19	123
27	19	122
28	20	121
29	21	120
30	21	119
31	22	118
32	23	117
33	23	116
34	24	115
35	25	115
36	25	114
37	26	113
38	27	113
39	28	112
40	28	111
41	29	110
42	30	109
43	30	109
44	31	108
45	32	107
46	32	106
47	33	106
48	34	105
49	34	104
50	35	103
51	36	103
52	37	102
53	37	102
54	38	101
55	40	103
56	41	103
57	42	105
58	43	104
59	44	103
60	45	102
61	45	102
62	46	101
63	47	100
64	48	99
65	48	99
66	49	98
67	50	97
68	50	96
69	51	95
70	52	95
71	53	95
72	54	95
73	55	95
74	56	94
75	57	93
76	58	92
77	58	92
78	59	91
79	60	90
80	60	89
81	61	88
82	62	87
83	62	86
84	63	85
85	64	85
86	64	84
87	65	83
88	66	82
89	67	81
90	67	81
91	68	80
92	69	80
93	70	79
94	71	78
95	71	77
96	72	77
97	73	76
98	73	75
99	74	74
100	75	73
101	76	73
102	76	72
103	77	71
104	78	70
105	78	69
106	79	69
107	80	68
108	81	67
109	81	66
110	82	66
111	83	65
112	84	64
113	84	63
114	85	63
115	86	62
116	86	61
117	87	60
118	88	60
119	88	59
120	89	58
121	90	57
122	91	57
123	91	56
124	92	55
125	93	54
126	93	53
127	94	53
128	95	52
129	96	51
130	96	50
131	97	50
132	98	49
133	98	48
134	99	47
135	100	47
136	100	46
137	101	45
138	102	44
139	102	44
140	103	43
141	104	42
142	105	41
143	105	41
144	106	40
145	107	39
146	108	39
147	109	38
148	109	37
149	110	36
150	111	36
151	111	35
152	112	34
153	113	33
154	114	33
155	114	32
156	115	31
157	116	30
158	117	30
159	117	29
160	118	28
161	119	27
162	119	27
163	120	26
164	121	25
165	122	25
166	122	24
167	123	23
168	124	22
169	125	22
170	125	21
171	126	20
172	127	19
173	127	19
174	128	18
175	129	17
176	129	16
177	130	16
178	131	15
179	132	14
180	132	13
181	133	13
182	134	12
183	134	11
184	135	10
185	136	10
186	137	9
187	137	8
188	138	8
189	139	7
190	139	6
191	140	5
192	141	5
193	141	4
194	142	3
195	143	2
196	143	2
197	144	1
198	145	0
199	145	0
